empId,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary,ROI
0,0.38,0.53,2,157,3,0,1,0,sales,1,0.176666667
1,0.8,0.86,5,262,6,0,1,0,sales,2,0.238888889
2,0.11,0.88,7,272,4,0,1,0,sales,2,0.513333333
3,0.72,0.87,5,223,5,0,1,0,sales,1,0.435
4,0.37,0.52,2,159,3,0,1,0,sales,1,0.173333333
5,0.41,0.5,2,153,3,0,1,0,sales,1,0.166666667
6,0.1,0.77,6,247,4,0,1,0,sales,1,0.5775
7,0.92,0.85,5,259,5,0,1,0,sales,1,0.425
8,0.89,1,5,224,5,0,1,0,sales,1,0.5
9,0.42,0.53,2,142,3,0,1,0,sales,1,0.176666667
10,0.45,0.54,2,135,3,0,1,0,sales,1,0.18
11,0.11,0.81,6,305,4,0,1,0,sales,1,0.6075
12,0.84,0.92,4,234,5,0,1,0,sales,1,0.368
13,0.41,0.55,2,148,3,0,1,0,sales,1,0.183333333
14,0.36,0.56,2,137,3,0,1,0,sales,1,0.186666667
15,0.38,0.54,2,143,3,0,1,0,sales,1,0.18
16,0.45,0.47,2,160,3,0,1,0,sales,1,0.156666667
17,0.78,0.99,4,255,6,0,1,0,sales,1,0.33
18,0.45,0.51,2,160,3,1,1,1,sales,1,0.17
19,0.76,0.89,5,262,5,0,1,0,sales,1,0.445
20,0.11,0.83,6,282,4,0,1,0,sales,1,0.6225
21,0.38,0.55,2,147,3,0,1,0,sales,1,0.183333333
22,0.09,0.95,6,304,4,0,1,0,sales,1,0.7125
23,0.46,0.57,2,139,3,0,1,0,sales,1,0.19
24,0.4,0.53,2,158,3,0,1,0,sales,1,0.176666667
25,0.89,0.92,5,242,5,0,1,0,sales,1,0.46
26,0.82,0.87,4,239,5,0,1,0,sales,1,0.348
27,0.4,0.49,2,135,3,0,1,0,sales,1,0.163333333
28,0.41,0.46,2,128,3,0,1,0,accounting,1,0.153333333
29,0.38,0.5,2,132,3,0,1,0,accounting,1,0.166666667
30,0.09,0.62,6,294,4,0,1,0,accounting,1,0.465
31,0.45,0.57,2,134,3,0,1,0,hr,1,0.19
32,0.4,0.51,2,145,3,0,1,0,hr,1,0.17
33,0.45,0.55,2,140,3,0,1,0,hr,1,0.183333333
34,0.84,0.87,4,246,6,0,1,0,hr,1,0.29
35,0.1,0.94,6,255,4,0,1,0,technical,1,0.705
36,0.38,0.46,2,137,3,0,1,0,technical,1,0.153333333
37,0.45,0.5,2,126,3,0,1,0,technical,1,0.166666667
38,0.11,0.89,6,306,4,0,1,0,technical,1,0.6675
39,0.41,0.54,2,152,3,0,1,0,technical,1,0.18
40,0.87,0.88,5,269,5,0,1,0,technical,1,0.44
41,0.45,0.48,2,158,3,0,1,0,technical,1,0.16
42,0.4,0.46,2,127,3,0,1,0,technical,1,0.153333333
43,0.1,0.8,7,281,4,0,1,0,technical,1,0.7
44,0.09,0.89,6,276,4,0,1,0,technical,1,0.6675
45,0.84,0.74,3,182,4,0,1,0,technical,1,0.2775
46,0.4,0.55,2,147,3,0,1,0,support,1,0.183333333
47,0.57,0.7,3,273,6,0,1,0,support,1,0.175
48,0.4,0.54,2,148,3,0,1,0,support,1,0.18
49,0.43,0.47,2,147,3,0,1,0,support,1,0.156666667
50,0.13,0.78,6,152,2,0,1,0,support,1,1.17
51,0.44,0.55,2,135,3,0,1,0,support,1,0.183333333
52,0.38,0.55,2,134,3,0,1,0,support,1,0.183333333
53,0.39,0.54,2,132,3,0,1,0,support,1,0.18
54,0.1,0.92,7,307,4,0,1,0,support,1,0.805
55,0.37,0.46,2,140,3,0,1,0,support,1,0.153333333
56,0.11,0.94,7,255,4,0,1,0,support,1,0.8225
57,0.1,0.81,6,309,4,0,1,0,technical,1,0.6075
58,0.38,0.54,2,128,3,0,1,0,technical,1,0.18
59,0.85,1,4,225,5,0,1,0,technical,1,0.4
60,0.85,0.91,5,226,5,0,1,0,management,2,0.303333333
61,0.11,0.93,7,308,4,0,1,0,IT,2,0.5425
62,0.1,0.95,6,244,5,0,1,0,IT,2,0.38
63,0.36,0.56,2,132,3,0,1,0,IT,2,0.124444444
64,0.11,0.94,6,286,4,0,1,0,IT,2,0.47
65,0.81,0.7,6,161,4,0,1,0,IT,2,0.35
66,0.43,0.54,2,153,3,0,1,0,product_mng,2,0.12
67,0.9,0.98,4,264,6,0,1,0,product_mng,2,0.217777778
68,0.76,0.86,5,223,5,1,1,0,product_mng,2,0.286666667
69,0.43,0.5,2,135,3,0,1,0,product_mng,2,0.111111111
70,0.74,0.99,2,277,3,0,1,0,IT,2,0.22
71,0.09,0.77,5,275,4,0,1,0,product_mng,2,0.320833333
72,0.45,0.49,2,149,3,0,1,0,product_mng,0,0.326666667
73,0.09,0.87,7,295,4,0,1,0,product_mng,1,0.76125
74,0.11,0.97,6,277,4,0,1,0,product_mng,2,0.485
75,0.11,0.79,7,306,4,0,1,0,product_mng,2,0.460833333
76,0.1,0.83,6,295,4,0,1,0,product_mng,2,0.415
77,0.4,0.54,2,137,3,0,1,0,marketing,2,0.12
78,0.43,0.56,2,157,3,0,1,0,sales,1,0.186666667
79,0.39,0.56,2,142,3,0,1,0,accounting,1,0.186666667
80,0.45,0.54,2,140,3,0,1,0,support,1,0.18
81,0.38,0.49,2,151,3,0,1,0,technical,1,0.163333333
82,0.79,0.59,4,139,3,0,1,1,management,1,0.393333333
83,0.84,0.85,4,249,6,0,1,0,marketing,1,0.283333333
84,0.11,0.77,6,291,4,0,1,0,marketing,1,0.5775
85,0.11,0.87,6,305,4,0,1,0,marketing,1,0.6525
86,0.17,0.84,5,232,3,0,1,0,sales,1,0.7
87,0.44,0.45,2,132,3,0,1,0,sales,1,0.15
88,0.37,0.57,2,130,3,0,1,0,sales,1,0.19
89,0.1,0.79,6,291,4,0,1,0,sales,1,0.5925
90,0.4,0.5,2,130,3,0,1,0,sales,1,0.166666667
91,0.89,1,5,246,5,0,1,0,sales,1,0.5
92,0.42,0.48,2,143,3,0,1,0,sales,1,0.16
93,0.46,0.55,2,129,3,0,1,0,sales,1,0.183333333
94,0.09,0.83,6,255,4,0,1,0,sales,1,0.6225
95,0.37,0.51,2,155,3,0,1,0,sales,1,0.17
96,0.1,0.77,6,265,4,0,1,0,sales,1,0.5775
97,0.1,0.84,6,279,4,0,1,0,sales,1,0.63
98,0.11,0.97,6,284,4,0,1,0,sales,1,0.7275
99,0.9,1,5,221,6,0,1,0,sales,2,0.277777778
100,0.38,0.52,2,154,3,0,1,0,sales,2,0.115555556
101,0.36,0.52,2,147,3,0,1,0,sales,2,0.115555556
102,0.42,0.46,2,150,3,0,1,0,sales,2,0.102222222
103,0.09,0.94,7,267,4,0,1,0,sales,2,0.548333333
104,0.43,0.52,2,158,3,0,1,0,sales,2,0.115555556
105,0.24,0.46,7,224,5,0,1,0,accounting,2,0.214666667
106,0.91,1,4,257,5,0,1,0,accounting,2,0.266666667
107,0.44,0.5,2,148,3,0,1,0,accounting,2,0.111111111
108,0.71,0.87,3,177,4,0,1,0,hr,2,0.2175
109,0.4,0.49,2,155,3,0,1,0,hr,2,0.108888889
110,0.43,0.47,2,144,3,0,1,0,hr,2,0.104444444
111,0.09,0.85,6,289,4,0,1,0,hr,0,1.275
112,0.43,0.52,2,160,3,0,1,0,technical,1,0.173333333
113,0.9,0.96,4,258,5,0,1,0,technical,2,0.256
114,0.84,1,5,234,5,0,1,0,technical,2,0.333333333
115,0.37,0.48,2,137,3,0,1,0,technical,2,0.106666667
116,0.86,0.68,5,263,2,0,1,0,technical,2,0.566666667
117,0.11,0.84,6,251,4,0,1,0,technical,1,0.63
118,0.37,0.57,2,133,3,0,1,0,technical,1,0.19
119,0.4,0.46,2,132,3,0,1,0,technical,1,0.153333333
120,0.14,0.62,4,158,4,1,1,0,technical,1,0.31
121,0.4,0.46,2,135,3,0,1,0,technical,1,0.153333333
122,0.75,1,4,216,6,0,1,0,technical,1,0.333333333
123,0.11,0.84,6,300,5,1,1,0,support,1,0.504
124,0.46,0.49,2,138,3,0,1,0,support,1,0.163333333
125,0.11,0.92,6,260,4,0,1,0,support,1,0.69
126,0.38,0.49,2,132,3,0,1,0,support,1,0.163333333
127,0.7,0.89,3,183,5,0,1,0,support,1,0.267
128,0.09,0.82,6,250,4,0,1,0,support,1,0.615
129,0.37,0.45,2,151,3,0,1,0,support,1,0.15
130,0.1,0.83,6,292,4,0,1,0,support,1,0.6225
131,0.38,0.57,2,140,3,0,1,0,support,1,0.19
132,0.9,1,5,221,5,0,1,0,support,1,0.5
133,0.44,0.51,2,138,3,0,1,0,support,1,0.17
134,0.36,0.5,2,132,3,0,1,0,technical,1,0.166666667
135,0.31,0.84,7,133,5,0,1,0,technical,1,0.588
136,0.1,0.84,6,283,4,1,1,0,technical,1,0.63
137,0.42,0.48,2,129,3,0,1,0,management,1,0.16
138,0.74,1,4,249,5,0,1,0,IT,1,0.4
139,0.73,0.87,5,257,5,0,1,0,IT,1,0.435
140,0.09,0.96,6,245,4,0,1,0,IT,1,0.72
141,0.45,0.53,2,155,3,0,1,0,IT,1,0.176666667
142,0.11,0.8,6,256,4,0,1,0,IT,1,0.6
143,0.37,0.47,2,152,3,0,1,0,product_mng,1,0.156666667
144,0.84,0.99,4,267,5,0,1,0,product_mng,1,0.396
145,0.41,0.46,2,151,3,0,1,0,product_mng,1,0.153333333
146,0.76,0.92,4,239,5,0,1,0,product_mng,1,0.368
147,0.11,0.87,6,306,4,0,1,0,IT,1,0.6525
148,0.84,0.88,4,263,5,1,1,0,marketing,1,0.352
149,0.39,0.5,2,147,3,0,1,0,marketing,1,0.166666667
150,0.11,0.91,6,278,4,0,1,0,marketing,1,0.6825
151,0.45,0.56,2,154,3,0,1,0,marketing,1,0.186666667
152,0.37,0.52,2,143,3,0,1,0,marketing,1,0.173333333
153,0.4,0.52,2,155,3,0,1,0,marketing,1,0.173333333
154,0.39,0.48,2,160,3,0,1,0,sales,1,0.16
155,0.11,0.8,6,304,4,0,1,0,accounting,1,0.6
156,0.83,1,5,240,5,0,1,0,support,1,0.5
157,0.11,0.92,6,305,4,0,1,0,technical,1,0.69
158,0.39,0.5,2,136,3,0,1,0,management,1,0.166666667
159,0.45,0.45,2,132,3,0,1,0,marketing,1,0.15
160,0.1,0.95,7,301,4,0,1,0,marketing,1,0.83125
161,0.9,0.98,5,243,6,0,1,0,marketing,1,0.408333333
162,0.45,0.51,2,147,3,0,1,0,sales,1,0.17
163,0.79,0.89,5,239,5,0,1,0,sales,1,0.445
164,0.9,0.99,5,260,5,0,1,0,sales,1,0.495
165,0.11,0.84,7,296,4,0,1,0,sales,1,0.735
166,0.43,0.55,2,129,3,0,1,0,sales,1,0.183333333
167,0.31,0.54,5,132,5,0,1,0,sales,1,0.27
168,0.32,0.5,2,135,5,0,1,0,sales,1,0.1
169,0.45,0.57,2,158,3,0,1,0,sales,1,0.19
170,0.81,0.99,4,259,5,0,1,0,sales,1,0.396
171,0.41,0.46,2,160,3,0,1,1,sales,1,0.153333333
172,0.11,0.78,7,278,4,0,1,0,sales,1,0.6825
173,0.1,0.88,6,284,4,0,1,0,sales,1,0.66
174,0.7,0.53,2,274,4,0,1,0,sales,1,0.1325
175,0.54,0.74,4,164,2,0,1,0,sales,1,0.74
176,0.41,0.48,2,148,3,0,1,0,sales,1,0.16
177,0.38,0.5,2,140,3,0,1,0,sales,2,0.111111111
178,0.37,0.51,2,127,3,0,1,0,sales,2,0.113333333
179,0.11,0.85,6,308,5,0,1,0,sales,2,0.34
180,0.4,0.47,2,146,3,0,1,0,sales,2,0.104444444
181,0.1,0.84,6,261,4,0,1,0,accounting,2,0.42
182,0.89,0.99,5,257,5,0,1,0,accounting,2,0.33
183,0.11,0.8,6,285,4,0,1,0,accounting,2,0.4
184,0.36,0.55,2,141,3,0,1,0,hr,2,0.122222222
185,0.4,0.46,2,127,3,0,1,0,hr,2,0.102222222
186,0.09,0.85,6,297,4,0,1,0,hr,2,0.425
187,0.4,0.46,2,143,3,0,1,0,hr,2,0.102222222
188,0.37,0.55,2,152,3,0,1,0,technical,2,0.122222222
189,0.44,0.51,2,156,3,0,1,0,technical,0,0.34
190,0.09,0.8,7,283,5,0,1,0,technical,1,0.56
191,0.92,0.87,4,226,6,1,1,0,technical,2,0.193333333
192,0.74,0.91,4,232,5,0,1,0,technical,2,0.242666667
193,0.09,0.82,6,249,4,0,1,0,technical,2,0.41
194,0.89,0.95,4,275,5,0,1,0,technical,2,0.253333333
195,0.09,0.8,6,304,4,0,1,0,technical,1,0.6
196,0.27,0.54,7,278,3,0,1,0,technical,1,0.63
197,0.1,0.91,6,287,4,0,1,0,technical,1,0.6825
198,0.1,0.89,7,285,4,0,1,0,technical,1,0.77875
199,0.77,0.94,5,226,6,0,1,0,support,1,0.391666667
200,0.9,0.82,5,259,5,0,1,0,support,1,0.41
201,0.39,0.5,2,135,3,0,1,0,support,1,0.166666667
202,0.76,1,5,219,5,0,1,0,support,1,0.5
203,0.1,0.93,6,256,4,0,1,0,support,1,0.6975
204,0.87,0.9,5,254,6,0,1,0,support,1,0.375
205,0.38,0.5,2,153,3,0,1,0,support,1,0.166666667
206,0.77,0.99,5,228,5,0,1,0,support,1,0.495
207,0.78,0.87,4,228,5,0,1,0,support,1,0.348
208,0.44,0.5,2,128,3,0,1,0,support,1,0.166666667
209,0.38,0.52,2,153,3,0,1,0,support,1,0.173333333
210,0.43,0.46,2,156,3,0,1,0,technical,1,0.153333333
211,0.39,0.5,4,294,3,0,1,0,technical,1,0.333333333
212,0.88,1,5,219,5,0,1,0,technical,1,0.5
213,0.45,0.46,2,153,3,0,1,0,management,1,0.153333333
214,0.4,0.53,2,151,3,0,1,0,IT,1,0.176666667
215,0.36,0.51,2,155,3,0,1,0,IT,1,0.17
216,0.36,0.48,2,158,3,0,1,0,IT,1,0.16
217,0.9,0.98,5,245,5,0,1,0,IT,1,0.49
218,0.43,0.53,2,131,3,0,1,0,IT,1,0.176666667
219,0.89,0.87,5,225,5,0,1,0,product_mng,1,0.435
220,0.1,0.84,6,286,4,0,1,0,product_mng,1,0.63
221,0.37,0.5,2,135,3,0,1,0,product_mng,1,0.166666667
222,0.37,0.51,2,153,3,0,1,0,product_mng,1,0.17
223,0.87,0.9,5,252,5,0,1,0,IT,1,0.45
224,0.4,0.56,2,149,3,0,1,0,accounting,1,0.186666667
225,0.9,0.97,4,258,5,0,1,0,accounting,1,0.388
226,0.37,0.46,2,158,3,0,1,0,hr,1,0.153333333
227,0.44,0.54,2,149,3,0,1,0,hr,1,0.18
228,0.85,0.95,5,236,5,0,1,0,hr,1,0.475
229,0.78,0.98,5,239,6,0,1,0,marketing,1,0.408333333
230,0.42,0.47,2,159,3,0,1,0,marketing,1,0.156666667
231,0.92,0.99,5,255,6,0,1,0,sales,1,0.4125
232,0.11,0.83,6,244,4,0,1,0,accounting,1,0.6225
233,0.42,0.56,2,134,3,0,1,0,support,1,0.186666667
234,0.48,0.57,4,270,4,0,1,0,technical,1,0.285
235,0.83,0.85,4,255,5,0,1,0,management,1,0.34
236,0.4,0.53,2,151,3,0,1,0,marketing,1,0.176666667
237,0.43,0.45,2,135,3,0,1,0,marketing,1,0.15
238,0.43,0.53,2,146,3,0,1,0,marketing,1,0.176666667
239,0.1,0.97,7,254,4,0,1,0,sales,1,0.84875
240,0.1,0.87,7,289,4,0,1,0,sales,1,0.76125
241,0.37,0.46,2,156,3,0,1,0,sales,1,0.153333333
242,0.38,0.53,2,156,3,0,1,0,sales,1,0.176666667
243,0.4,0.5,2,128,3,0,1,0,sales,1,0.166666667
244,0.89,0.86,5,275,5,0,1,0,sales,1,0.43
245,0.45,0.46,2,155,3,0,1,0,sales,1,0.153333333
246,0.37,0.48,2,159,3,0,1,0,sales,1,0.16
247,0.46,0.49,2,148,3,0,1,0,sales,1,0.163333333
248,0.87,0.91,4,228,5,0,1,0,sales,1,0.364
249,0.11,0.84,6,298,4,0,1,0,sales,1,0.63
250,0.79,0.87,5,261,5,0,1,0,sales,1,0.435
251,0.79,0.92,5,254,6,0,1,0,sales,1,0.383333333
252,0.19,0.59,7,192,3,0,1,0,sales,1,0.688333333
253,0.87,0.98,4,248,5,0,1,0,sales,1,0.392
254,0.6,0.92,2,258,5,0,1,0,sales,1,0.184
255,0.44,0.45,2,156,3,0,1,0,sales,2,0.1
256,0.11,0.81,6,266,4,1,1,0,sales,2,0.405
257,0.42,0.54,2,156,3,0,1,0,sales,2,0.12
258,0.88,0.88,5,232,5,1,1,0,accounting,2,0.293333333
259,0.11,0.84,6,287,4,0,1,0,accounting,2,0.42
260,0.46,0.46,2,154,3,0,1,0,accounting,2,0.102222222
261,0.82,0.97,5,263,5,0,1,0,hr,2,0.323333333
262,0.44,0.56,2,131,3,0,1,0,hr,2,0.124444444
263,0.11,0.78,6,260,4,0,1,0,hr,2,0.39
264,0.42,0.5,2,139,3,0,1,0,hr,2,0.111111111
265,0.84,0.93,4,251,5,0,1,0,technical,2,0.248
266,0.11,0.95,6,286,4,0,1,0,technical,2,0.475
267,0.45,0.53,2,129,3,0,1,0,technical,0,0.353333333
268,0.38,0.56,2,156,3,0,1,0,technical,1,0.186666667
269,0.38,0.86,6,139,6,0,1,0,technical,2,0.286666667
270,0.44,0.51,2,127,3,0,1,0,technical,2,0.113333333
271,0.11,0.84,6,251,4,0,1,0,technical,2,0.42
272,0.81,0.93,5,270,5,0,1,0,technical,2,0.31
273,0.09,0.96,6,296,4,0,1,0,technical,1,0.72
274,0.11,0.9,6,254,4,0,1,0,technical,1,0.675
275,0.81,0.95,5,238,6,0,1,0,technical,1,0.395833333
276,0.1,0.97,6,267,4,1,1,0,support,1,0.7275
277,0.74,0.89,5,229,6,0,1,0,support,1,0.370833333
278,0.09,0.78,6,254,4,0,1,0,support,1,0.585
279,0.82,0.81,4,233,4,1,1,0,support,1,0.405
280,0.1,0.98,6,268,4,0,1,0,support,1,0.735
281,0.27,0.56,3,301,3,0,1,0,support,1,0.28
282,0.83,0.92,5,267,6,0,1,0,support,1,0.383333333
283,0.1,0.93,6,289,4,1,1,0,support,1,0.6975
284,0.38,0.47,2,144,3,0,1,0,support,1,0.156666667
285,0.4,0.56,2,148,3,0,1,0,support,1,0.186666667
286,0.11,0.83,6,306,4,0,1,0,support,1,0.6225
287,0.11,0.79,6,292,4,0,1,1,technical,1,0.5925
288,0.82,0.91,5,232,5,0,1,0,technical,1,0.455
289,0.36,0.48,2,137,3,0,1,0,technical,1,0.16
290,0.4,0.46,2,128,3,0,1,0,management,1,0.153333333
291,0.87,0.84,5,231,5,0,1,0,IT,1,0.42
292,0.41,0.49,2,146,3,0,1,0,IT,1,0.163333333
293,0.11,0.91,6,308,4,1,1,0,IT,1,0.6825
294,0.1,0.93,6,253,4,0,1,0,IT,2,0.465
295,0.38,0.51,2,146,3,0,1,0,IT,2,0.113333333
296,0.39,0.55,2,156,3,0,1,0,product_mng,2,0.122222222
297,0.4,0.52,2,147,3,0,1,0,product_mng,2,0.115555556
298,0.45,0.48,2,136,3,0,1,0,product_mng,2,0.106666667
299,0.74,0.84,5,249,5,0,1,0,product_mng,2,0.28
300,0.45,0.55,2,151,3,0,1,0,IT,2,0.122222222
301,0.12,1,3,278,4,0,1,0,RandD,2,0.25
302,0.1,0.77,7,250,5,0,1,0,RandD,2,0.359333333
303,0.37,0.55,2,127,3,0,1,0,RandD,2,0.122222222
304,0.89,0.87,5,255,5,0,1,0,RandD,2,0.29
305,0.45,0.47,2,135,3,0,1,0,RandD,2,0.104444444
306,0.37,0.46,2,149,3,0,1,0,marketing,0,0.306666667
307,0.11,0.81,5,287,4,0,1,0,sales,1,0.50625
308,0.41,0.48,2,145,3,0,1,0,accounting,2,0.106666667
309,0.1,0.94,6,285,4,0,1,0,support,2,0.47
310,0.1,0.93,7,305,4,0,1,0,technical,2,0.5425
