ID,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,23,1,2,624,2,0,1,1,0,0,1,0,64,2,1,7,3,2,809,999,8,0,1,0,0,0,0,0,8,0,0,6,4,0,5
1,31,0,1,113,1,7,0,1,0,1,2,1,31,1,1,6,1,1,682,1328,1,0,0,12,1,3,0,1,10,3,2,10,7,1,7
2,19,1,2,805,1,1,1,4,0,2,3,1,62,1,0,2,2,2,62,18,6,0,1,4,0,1,0,0,7,3,2,0,0,0,0
3,15,0,1,820,1,2,3,1,0,3,3,0,26,2,0,6,2,1,313,1228,1,0,1,0,0,2,0,0,8,3,2,8,7,3,0
4,9,0,2,312,1,1,0,3,0,4,0,1,10,2,0,2,1,1,399,846,9,0,0,1,0,3,0,1,6,3,2,2,2,2,2
5,14,0,1,572,1,1,1,1,0,5,3,1,49,2,0,2,3,2,346,567,0,0,0,2,0,2,0,0,8,2,1,7,7,3,6
6,41,0,2,770,1,2,2,3,0,6,2,0,51,3,0,2,0,1,238,463,4,0,1,9,1,0,0,3,12,3,1,1,0,0,0
7,12,0,2,794,1,23,0,1,0,7,3,1,37,2,0,2,2,0,246,648,1,0,0,11,1,1,0,1,1,2,2,1,0,0,0
8,20,0,1,78,1,22,2,1,0,8,3,1,14,1,2,4,2,2,1038,389,0,0,0,10,1,1,0,0,10,2,2,9,7,1,8
9,18,0,2,751,1,26,2,3,0,9,2,1,64,2,1,0,2,1,701,841,6,0,0,2,0,1,0,2,17,3,1,7,7,7,7
10,17,0,2,452,1,15,2,3,0,10,0,1,54,3,0,2,1,1,171,834,0,0,0,2,0,2,0,1,6,5,2,5,4,0,3
11,11,0,2,37,1,14,1,1,0,11,3,0,19,1,1,2,2,2,506,615,0,0,1,1,0,3,0,0,10,3,2,9,5,0,8
12,13,0,2,368,1,25,0,1,0,12,0,1,1,2,0,6,2,0,314,750,1,0,0,6,0,3,0,1,5,1,1,5,2,4,3
13,16,0,2,786,1,18,1,3,0,13,1,1,63,2,0,2,3,0,236,387,0,0,0,0,0,2,0,1,3,2,2,2,2,1,2
14,10,1,2,1,1,23,2,1,0,14,2,1,20,1,0,2,2,2,42,630,5,0,1,3,0,1,0,0,6,4,2,4,2,0,3
15,11,0,2,818,1,20,3,1,0,15,1,0,21,3,2,4,0,0,1067,478,1,0,0,0,0,2,0,1,10,1,2,10,9,8,8
16,14,0,2,150,1,4,1,1,0,16,0,1,50,3,0,6,1,0,374,746,0,0,1,1,0,3,0,2,7,5,1,6,2,0,5
17,4,0,0,637,1,15,1,3,0,17,3,1,66,3,0,2,3,0,319,310,1,0,1,2,0,1,0,2,1,2,1,1,0,0,0
18,35,0,2,698,2,1,3,1,0,18,0,0,48,1,3,3,3,1,1221,1154,2,0,0,5,0,2,0,0,31,3,2,25,8,3,7
19,20,0,2,171,1,1,2,1,0,19,3,1,15,2,0,6,3,2,464,129,5,0,1,0,0,2,0,0,6,3,2,3,2,1,2
20,6,0,0,371,1,10,1,4,0,20,0,0,66,3,1,4,2,0,475,360,0,0,0,7,0,3,0,1,5,5,1,4,2,1,3
21,18,1,2,697,2,8,3,1,0,21,2,1,52,1,0,8,0,2,386,289,7,0,0,12,1,1,0,0,10,4,2,5,3,0,3
22,16,0,2,196,1,6,3,1,0,22,0,0,23,2,2,5,1,2,1154,1116,0,0,0,0,0,2,0,0,13,4,2,12,6,2,11
23,3,0,2,181,1,14,1,1,0,23,2,1,66,2,0,6,3,2,10,986,1,0,0,3,0,3,0,0,0,6,2,0,0,0,0
24,16,1,2,388,1,5,0,3,0,24,1,1,53,2,0,6,0,2,324,868,2,0,0,0,0,2,0,0,8,2,2,4,2,1,3
25,35,0,2,743,1,4,2,4,0,25,2,0,28,2,4,3,2,0,1305,510,4,0,0,0,0,3,0,1,26,3,1,14,13,4,8
26,14,1,1,639,1,15,0,1,0,26,1,0,42,0,0,6,0,2,459,147,1,0,1,11,1,1,0,0,10,5,2,10,2,6,7
27,24,0,2,382,2,7,3,2,0,27,2,1,18,2,1,7,1,1,905,1108,0,0,0,0,0,3,0,1,10,2,2,9,7,4,2
28,26,0,2,234,1,6,3,3,0,28,0,0,12,1,2,0,3,1,1081,0,3,0,0,3,0,3,0,1,24,4,2,22,6,5,17
29,28,0,2,392,2,1,3,2,0,29,1,0,53,2,4,3,0,2,1298,1208,3,0,0,1,0,3,0,0,22,2,1,2,2,2,1
30,15,0,2,518,1,1,2,3,0,30,2,1,48,2,0,2,3,2,188,269,4,0,0,0,0,3,0,0,7,3,2,1,1,0,0
31,26,0,2,863,1,9,3,4,0,31,3,1,11,2,1,0,3,1,859,974,2,0,1,2,0,3,0,0,9,5,3,4,2,1,3
32,12,0,2,16,1,8,1,3,0,32,3,1,53,1,0,2,2,2,93,812,1,0,0,2,0,0,0,0,10,5,2,10,0,1,8
33,21,1,2,502,2,4,2,5,0,33,3,1,26,2,1,8,3,1,59,66,3,0,0,3,0,2,0,1,19,6,3,1,0,0,0
34,6,1,2,455,1,0,2,3,0,34,1,1,31,2,0,6,3,1,120,47,2,0,1,5,0,0,0,1,6,2,1,2,0,2,0
35,25,0,2,736,1,1,1,3,0,35,3,0,42,3,0,6,2,0,229,1150,1,0,0,1,0,3,0,2,6,3,1,5,3,1,4
36,32,1,2,485,2,2,1,2,0,36,0,1,56,1,0,8,2,1,241,95,1,0,1,3,0,2,0,0,3,2,2,3,2,0,2
37,17,0,2,499,2,1,2,2,0,37,3,0,67,2,0,8,3,1,38,445,1,0,0,2,0,0,0,0,2,3,2,2,2,2,2
38,18,0,2,475,1,4,3,1,0,38,1,0,52,1,0,6,0,1,388,636,9,0,1,3,0,3,0,1,6,3,3,1,1,0,0
39,15,0,1,650,2,0,2,1,0,39,2,0,12,3,1,7,0,1,726,61,2,0,0,8,0,0,0,2,10,3,2,5,3,1,3
40,17,0,2,224,1,3,1,4,0,40,2,1,45,2,0,2,3,0,32,521,1,0,0,1,0,2,0,1,1,3,2,1,0,0,0
41,9,0,2,713,1,1,3,1,0,41,3,0,3,2,0,2,0,0,144,1016,1,0,0,2,0,3,0,1,1,6,2,1,0,0,0
42,8,1,2,793,1,24,2,1,0,42,0,1,18,0,0,2,2,2,120,504,1,0,0,1,0,2,0,0,1,2,1,1,0,0,1
43,9,0,1,565,2,7,2,1,0,43,3,1,7,2,2,7,2,2,1006,43,1,0,0,4,0,3,0,0,9,0,2,9,8,1,7
