empId,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary,ROI,Risk
0,0.38,0.53,2,157,3,0,1,0,sales,1,104,1.394736842
1,0.8,0.86,5,262,6,0,1,0,sales,2,218,1.075
2,0.11,0.88,7,272,4,0,1,0,sales,2,476,8
3,0.72,0.87,5,223,5,0,1,0,sales,1,223,1.208333333
4,0.37,0.52,2,159,3,0,1,0,sales,1,106,1.405405405
5,0.41,0.5,2,153,3,0,1,0,sales,1,102,1.219512195
6,0.1,0.77,6,247,4,0,1,0,sales,1,370,7.7
7,0.92,0.85,5,259,5,0,1,0,sales,1,259,0.923913043
8,0.89,1,5,224,5,0,1,0,sales,1,224,1.123595506
9,0.42,0.53,2,142,3,0,1,0,sales,1,94,1.261904762
10,0.45,0.54,2,135,3,0,1,0,sales,1,90,1.2
11,0.11,0.81,6,305,4,0,1,0,sales,1,457,7.363636364
12,0.84,0.92,4,234,5,0,1,0,sales,1,187,1.095238095
13,0.41,0.55,2,148,3,0,1,0,sales,1,98,1.341463415
14,0.36,0.56,2,137,3,0,1,0,sales,1,91,1.555555556
15,0.38,0.54,2,143,3,0,1,0,sales,1,95,1.421052632
16,0.45,0.47,2,160,3,0,1,0,sales,1,106,1.044444444
17,0.78,0.99,4,255,6,0,1,0,sales,1,170,1.269230769
18,0.45,0.51,2,160,3,1,1,1,sales,1,106,1.133333333
19,0.76,0.89,5,262,5,0,1,0,sales,1,262,1.171052632
20,0.11,0.83,6,282,4,0,1,0,sales,1,423,7.545454545
21,0.38,0.55,2,147,3,0,1,0,sales,1,98,1.447368421
22,0.09,0.95,6,304,4,0,1,0,sales,1,456,10.55555556
23,0.46,0.57,2,139,3,0,1,0,sales,1,92,1.239130435
24,0.4,0.53,2,158,3,0,1,0,sales,1,105,1.325
25,0.89,0.92,5,242,5,0,1,0,sales,1,242,1.033707865
26,0.82,0.87,4,239,5,0,1,0,sales,1,191,1.06097561
27,0.4,0.49,2,135,3,0,1,0,sales,1,90,1.225
28,0.41,0.46,2,128,3,0,1,0,accounting,1,85,1.12195122
29,0.38,0.5,2,132,3,0,1,0,accounting,1,88,1.315789474
30,0.09,0.62,6,294,4,0,1,0,accounting,1,441,6.888888889
31,0.45,0.57,2,134,3,0,1,0,hr,1,89,1.266666667
32,0.4,0.51,2,145,3,0,1,0,hr,1,96,1.275
33,0.45,0.55,2,140,3,0,1,0,hr,1,93,1.222222222
34,0.84,0.87,4,246,6,0,1,0,hr,1,164,1.035714286
35,0.1,0.94,6,255,4,0,1,0,technical,1,382,9.4
36,0.38,0.46,2,137,3,0,1,0,technical,1,91,1.210526316
37,0.45,0.5,2,126,3,0,1,0,technical,1,84,1.111111111
38,0.11,0.89,6,306,4,0,1,0,technical,1,459,8.090909091
39,0.41,0.54,2,152,3,0,1,0,technical,1,101,1.317073171
40,0.87,0.88,5,269,5,0,1,0,technical,1,269,1.011494253
41,0.45,0.48,2,158,3,0,1,0,technical,1,105,1.066666667
42,0.4,0.46,2,127,3,0,1,0,technical,1,84,1.15
43,0.1,0.8,7,281,4,0,1,0,technical,1,491,8
44,0.09,0.89,6,276,4,0,1,0,technical,1,414,9.888888889
45,0.84,0.74,3,182,4,0,1,0,technical,1,136,0.880952381
46,0.4,0.55,2,147,3,0,1,0,support,1,98,1.375
47,0.57,0.7,3,273,6,0,1,0,support,1,136,1.228070175
48,0.4,0.54,2,148,3,0,1,0,support,1,98,1.35
49,0.43,0.47,2,147,3,0,1,0,support,1,98,1.093023256
50,0.13,0.78,6,152,2,0,1,0,support,1,456,6
51,0.44,0.55,2,135,3,0,1,0,support,1,90,1.25
52,0.38,0.55,2,134,3,0,1,0,support,1,89,1.447368421
53,0.39,0.54,2,132,3,0,1,0,support,1,88,1.384615385
54,0.1,0.92,7,307,4,0,1,0,support,1,537,9.2
55,0.37,0.46,2,140,3,0,1,0,support,1,93,1.243243243
56,0.11,0.94,7,255,4,0,1,0,support,1,446,8.545454545
57,0.1,0.81,6,309,4,0,1,0,technical,1,463,8.1
58,0.38,0.54,2,128,3,0,1,0,technical,1,85,1.421052632
59,0.85,1,4,225,5,0,1,0,technical,1,180,1.176470588
60,0.85,0.91,5,226,5,0,1,0,management,2,226,1.070588235
61,0.11,0.93,7,308,4,0,1,0,IT,2,539,8.454545455
62,0.1,0.95,6,244,5,0,1,0,IT,2,292,9.5
63,0.36,0.56,2,132,3,0,1,0,IT,2,88,1.555555556
64,0.11,0.94,6,286,4,0,1,0,IT,2,429,8.545454545
65,0.81,0.7,6,161,4,0,1,0,IT,2,241,0.864197531
66,0.43,0.54,2,153,3,0,1,0,product_mng,2,102,1.255813953
67,0.9,0.98,4,264,6,0,1,0,product_mng,2,176,1.088888889
68,0.76,0.86,5,223,5,1,1,0,product_mng,2,223,1.131578947
69,0.43,0.5,2,135,3,0,1,0,product_mng,2,90,1.162790698
70,0.74,0.99,2,277,3,0,1,0,IT,2,184,1.337837838
71,0.09,0.77,5,275,4,0,1,0,product_mng,2,343,8.555555556
72,0.45,0.49,2,149,3,0,1,0,product_mng,0,99,1.088888889
73,0.09,0.87,7,295,4,0,1,0,product_mng,1,516,9.666666667
74,0.11,0.97,6,277,4,0,1,0,product_mng,2,415,8.818181818
