empId,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary,ROI,Risk,color_risk
0,0.38,0.53,2,157,3,0,1,0,sales,1,104,1.394736842,0
1,0.8,0.86,5,262,6,0,1,0,sales,2,218,1.075,0
2,0.11,0.88,7,272,4,0,1,0,sales,2,476,8,5
3,0.72,0.87,5,223,5,0,1,0,sales,1,223,1.208333333,0
4,0.37,0.52,2,159,3,0,1,0,sales,1,106,1.405405405,0
5,0.41,0.5,2,153,3,0,1,0,sales,1,102,1.219512195,0
6,0.1,0.77,6,247,4,0,1,0,sales,1,370,7.7,5
7,0.92,0.85,5,259,5,0,1,0,sales,1,259,0.923913043,0
8,0.89,1,5,224,5,0,1,0,sales,1,224,1.123595506,0
9,0.42,0.53,2,142,3,0,1,0,sales,1,94,1.261904762,0
10,0.45,0.54,2,135,3,0,1,0,sales,1,90,1.2,0
11,0.11,0.81,6,305,4,0,1,0,sales,1,457,7.363636364,5
12,0.84,0.92,4,234,5,0,1,0,sales,1,187,1.095238095,0
13,0.41,0.55,2,148,3,0,1,0,sales,1,98,1.341463415,0
14,0.36,0.56,2,137,3,0,1,0,sales,1,91,1.555555556,0
15,0.38,0.54,2,143,3,0,1,0,sales,1,95,1.421052632,0
16,0.45,0.47,2,160,3,0,1,0,sales,1,106,1.044444444,0
17,0.78,0.99,4,255,6,0,1,0,sales,1,170,1.269230769,0
18,0.45,0.51,2,160,3,1,1,1,sales,1,106,1.133333333,0
19,0.76,0.89,5,262,5,0,1,0,sales,1,262,1.171052632,0
20,0.11,0.83,6,282,4,0,1,0,sales,1,423,7.545454545,5
21,0.38,0.55,2,147,3,0,1,0,sales,1,98,1.447368421,0
22,0.09,0.95,6,304,4,0,1,0,sales,1,456,10.55555556,5
23,0.46,0.57,2,139,3,0,1,0,sales,1,92,1.239130435,0
24,0.4,0.53,2,158,3,0,1,0,sales,1,105,1.325,0
25,0.89,0.92,5,242,5,0,1,0,sales,1,242,1.033707865,0
26,0.82,0.87,4,239,5,0,1,0,sales,1,191,1.06097561,0
27,0.4,0.49,2,135,3,0,1,0,sales,1,90,1.225,0
28,0.41,0.46,2,128,3,0,1,0,accounting,1,85,1.12195122,0
29,0.38,0.5,2,132,3,0,1,0,accounting,1,88,1.315789474,0
30,0.09,0.62,6,294,4,0,1,0,accounting,1,441,6.888888889,5
31,0.45,0.57,2,134,3,0,1,0,hr,1,89,1.266666667,0
32,0.4,0.51,2,145,3,0,1,0,hr,1,96,1.275,0
33,0.45,0.55,2,140,3,0,1,0,hr,1,93,1.222222222,0
34,0.84,0.87,4,246,6,0,1,0,hr,1,164,1.035714286,0
35,0.1,0.94,6,255,4,0,1,0,technical,1,382,9.4,5
36,0.38,0.46,2,137,3,0,1,0,technical,1,91,1.210526316,0
37,0.45,0.5,2,126,3,0,1,0,technical,1,84,1.111111111,0
