empId,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary,ROI,attrition_rate
0,0.38,0.53,2,157,3,0,1,0,sales,1,0.176666667,0.716981132
1,0.8,0.86,5,262,6,0,1,0,sales,2,0.238888889,0.930232558
2,0.11,0.88,7,272,4,0,1,0,sales,2,0.513333333,0.125
3,0.72,0.87,5,223,5,0,1,0,sales,1,0.435,0.827586207
4,0.37,0.52,2,159,3,0,1,0,sales,1,0.173333333,0.711538462
5,0.41,0.5,2,153,3,0,1,0,sales,1,0.166666667,0.82
6,0.1,0.77,6,247,4,0,1,0,sales,1,0.5775,0.12987013
7,0.92,0.85,5,259,5,0,1,0,sales,1,0.425,1.082352941
8,0.89,1,5,224,5,0,1,0,sales,1,0.5,0.89
9,0.42,0.53,2,142,3,0,1,0,sales,1,0.176666667,0.79245283
10,0.45,0.54,2,135,3,0,1,0,sales,1,0.18,0.833333333
11,0.11,0.81,6,305,4,0,1,0,sales,1,0.6075,0.135802469
12,0.84,0.92,4,234,5,0,1,0,sales,1,0.368,0.913043478
13,0.41,0.55,2,148,3,0,1,0,sales,1,0.183333333,0.745454545
14,0.36,0.56,2,137,3,0,1,0,sales,1,0.186666667,0.642857143
15,0.38,0.54,2,143,3,0,1,0,sales,1,0.18,0.703703704
16,0.45,0.47,2,160,3,0,1,0,sales,1,0.156666667,0.957446809
17,0.78,0.99,4,255,6,0,1,0,sales,1,0.33,0.787878788
18,0.45,0.51,2,160,3,1,1,1,sales,1,0.17,0.882352941
19,0.76,0.89,5,262,5,0,1,0,sales,1,0.445,0.853932584
20,0.11,0.83,6,282,4,0,1,0,sales,1,0.6225,0.13253012
21,0.38,0.55,2,147,3,0,1,0,sales,1,0.183333333,0.690909091
22,0.09,0.95,6,304,4,0,1,0,sales,1,0.7125,0.094736842
23,0.46,0.57,2,139,3,0,1,0,sales,1,0.19,0.807017544
24,0.4,0.53,2,158,3,0,1,0,sales,1,0.176666667,0.754716981
25,0.89,0.92,5,242,5,0,1,0,sales,1,0.46,0.967391304
26,0.82,0.87,4,239,5,0,1,0,sales,1,0.348,0.942528736
27,0.4,0.49,2,135,3,0,1,0,sales,1,0.163333333,0.816326531
28,0.41,0.46,2,128,3,0,1,0,accounting,1,0.153333333,0.891304348
29,0.38,0.5,2,132,3,0,1,0,accounting,1,0.166666667,0.76
30,0.09,0.62,6,294,4,0,1,0,accounting,1,0.465,0.14516129
31,0.45,0.57,2,134,3,0,1,0,hr,1,0.19,0.789473684
32,0.4,0.51,2,145,3,0,1,0,hr,1,0.17,0.784313725
33,0.45,0.55,2,140,3,0,1,0,hr,1,0.183333333,0.818181818
34,0.84,0.87,4,246,6,0,1,0,hr,1,0.29,0.965517241
35,0.1,0.94,6,255,4,0,1,0,technical,1,0.705,0.106382979
36,0.38,0.46,2,137,3,0,1,0,technical,1,0.153333333,0.826086957
37,0.45,0.5,2,126,3,0,1,0,technical,1,0.166666667,0.9
38,0.11,0.89,6,306,4,0,1,0,technical,1,0.6675,0.123595506
39,0.41,0.54,2,152,3,0,1,0,technical,1,0.18,0.759259259
40,0.87,0.88,5,269,5,0,1,0,technical,1,0.44,0.988636364
41,0.45,0.48,2,158,3,0,1,0,technical,1,0.16,0.9375
