,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary,ROI,attrition_rate
0,0.38,0.53,2,157,3,0,1,0,sales,1,0.17666666666666667,1.3947368421052633
1,0.8,0.86,5,262,6,0,1,0,sales,2,0.23888888888888887,1.075
2,0.11,0.88,7,272,4,0,1,0,sales,2,0.5133333333333333,8.0
3,0.72,0.87,5,223,5,0,1,0,sales,1,0.43499999999999994,1.2083333333333335
4,0.37,0.52,2,159,3,0,1,0,sales,1,0.17333333333333334,1.4054054054054055
5,0.41,0.5,2,153,3,0,1,0,sales,1,0.16666666666666666,1.2195121951219512
6,0.1,0.77,6,247,4,0,1,0,sales,1,0.5775,7.7
7,0.92,0.85,5,259,5,0,1,0,sales,1,0.425,0.9239130434782608
8,0.89,1.0,5,224,5,0,1,0,sales,1,0.5,1.1235955056179776
9,0.42,0.53,2,142,3,0,1,0,sales,1,0.17666666666666667,1.261904761904762
10,0.45,0.54,2,135,3,0,1,0,sales,1,0.18000000000000002,1.2
11,0.11,0.81,6,305,4,0,1,0,sales,1,0.6075,7.363636363636364
12,0.84,0.92,4,234,5,0,1,0,sales,1,0.368,1.0952380952380953
13,0.41,0.55,2,148,3,0,1,0,sales,1,0.18333333333333335,1.3414634146341464
14,0.36,0.56,2,137,3,0,1,0,sales,1,0.18666666666666668,1.5555555555555558
15,0.38,0.54,2,143,3,0,1,0,sales,1,0.18000000000000002,1.4210526315789473
16,0.45,0.47,2,160,3,0,1,0,sales,1,0.15666666666666665,1.0444444444444443
17,0.78,0.99,4,255,6,0,1,0,sales,1,0.33,1.2692307692307692
18,0.45,0.51,2,160,3,1,1,1,sales,1,0.17,1.1333333333333333
19,0.76,0.89,5,262,5,0,1,0,sales,1,0.445,1.1710526315789473
20,0.11,0.83,6,282,4,0,1,0,sales,1,0.6224999999999999,7.545454545454545
21,0.38,0.55,2,147,3,0,1,0,sales,1,0.18333333333333335,1.4473684210526316
22,0.09,0.95,6,304,4,0,1,0,sales,1,0.7124999999999999,10.555555555555555
23,0.46,0.57,2,139,3,0,1,0,sales,1,0.18999999999999997,1.2391304347826084
24,0.4,0.53,2,158,3,0,1,0,sales,1,0.17666666666666667,1.325
25,0.89,0.92,5,242,5,0,1,0,sales,1,0.4600000000000001,1.0337078651685394
26,0.82,0.87,4,239,5,0,1,0,sales,1,0.348,1.0609756097560976
27,0.4,0.49,2,135,3,0,1,0,sales,1,0.16333333333333333,1.2249999999999999
28,0.41,0.46,2,128,3,0,1,0,accounting,1,0.15333333333333335,1.1219512195121952
29,0.38,0.5,2,132,3,0,1,0,accounting,1,0.16666666666666666,1.3157894736842106
30,0.09,0.62,6,294,4,0,1,0,accounting,1,0.46499999999999997,6.888888888888889
31,0.45,0.57,2,134,3,0,1,0,hr,1,0.18999999999999997,1.2666666666666666
32,0.4,0.51,2,145,3,0,1,0,hr,1,0.17,1.275
33,0.45,0.55,2,140,3,0,1,0,hr,1,0.18333333333333335,1.2222222222222223
34,0.84,0.87,4,246,6,0,1,0,hr,1,0.29,1.0357142857142858
35,0.1,0.94,6,255,4,0,1,0,technical,1,0.705,9.399999999999999
36,0.38,0.46,2,137,3,0,1,0,technical,1,0.15333333333333335,1.2105263157894737
37,0.45,0.5,2,126,3,0,1,0,technical,1,0.16666666666666666,1.1111111111111112
38,0.11,0.89,6,306,4,0,1,0,technical,1,0.6675,8.090909090909092
39,0.41,0.54,2,152,3,0,1,0,technical,1,0.18000000000000002,1.3170731707317074
40,0.87,0.88,5,269,5,0,1,0,technical,1,0.44000000000000006,1.0114942528735633
41,0.45,0.48,2,158,3,0,1,0,technical,1,0.16,1.0666666666666667
42,0.4,0.46,2,127,3,0,1,0,technical,1,0.15333333333333335,1.15
43,0.1,0.8,7,281,4,0,1,0,technical,1,0.7000000000000001,8.0
44,0.09,0.89,6,276,4,0,1,0,technical,1,0.6675,9.88888888888889
45,0.84,0.74,3,182,4,0,1,0,technical,1,0.27749999999999997,0.8809523809523809
46,0.4,0.55,2,147,3,0,1,0,support,1,0.18333333333333335,1.375
47,0.57,0.7,3,273,6,0,1,0,support,1,0.17499999999999996,1.2280701754385965
48,0.4,0.54,2,148,3,0,1,0,support,1,0.18000000000000002,1.35
49,0.43,0.47,2,147,3,0,1,0,support,1,0.15666666666666665,1.0930232558139534
50,0.13,0.78,6,152,2,0,1,0,support,1,1.17,6.0
51,0.44,0.55,2,135,3,0,1,0,support,1,0.18333333333333335,1.25
52,0.38,0.55,2,134,3,0,1,0,support,1,0.18333333333333335,1.4473684210526316
53,0.39,0.54,2,132,3,0,1,0,support,1,0.18000000000000002,1.3846153846153846
54,0.1,0.92,7,307,4,0,1,0,support,1,0.805,9.2
55,0.37,0.46,2,140,3,0,1,0,support,1,0.15333333333333335,1.2432432432432432
56,0.11,0.94,7,255,4,0,1,0,support,1,0.8225,8.545454545454545
57,0.1,0.81,6,309,4,0,1,0,technical,1,0.6075,8.1
58,0.38,0.54,2,128,3,0,1,0,technical,1,0.18000000000000002,1.4210526315789473
59,0.85,1.0,4,225,5,0,1,0,technical,1,0.4,1.1764705882352942
